Name,Year,Rating
Soul,2020,8.1
Wonder Woman 1984,2020,5.5
Tenet,2020,7.5
Shadow in the Cloud,2020,4.7
Pieces of a Woman,2020,7.1
The Karate Kid,1984,7.3
The Midnight Sky,2020,5.6
Promising Young Woman,2020,7.5
We Can Be Heroes,2020,4.7
The Karate Kid Part III,1989,5.3
Locked Down,2021,4.9
The Karate Kid Part II,1986,6.1
Wonder Woman,2017,7.4
Another Round,2020,7.8
Avengers: Endgame,2019,8.4
Outside the Wire,2021,5.4
Nomadland,2020,7.7
The Gentlemen,2019,7.8
Mulan,2020,5.6
After We Collided,2020,5.0
Run,2020,6.7
One Night in Miami,2020,7.1
Parasite,2019,8.6
Sound of Metal,2019,7.8
Greenland,2020,6.4
The Lion King,2019,6.9
The Godfather,1972,9.2
Knives Out,2019,7.9
Monster Hunter,2020,5.3
365 Days,2020,3.2
The Croods: A New Age,2020,7.0
Ma Rainey's Black Bottom,2020,7.1
1917,2019,8.3
Harry Potter and the Sorcerer's Stone,2001,7.6
Unknown,2011,6.8
News of the World,2020,7.0
Dune,2021,7.8
The Trial of the Chicago 7,2020,9.3
The Shawshank Redemption,1994,6.3
17 Again,2009,4.9
Fatale,2020,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.2
The Wolf of Wall Street,2013,5.4
Ava,2020,7.1
Mank,2020,6.2
The Beastmaster,1982,7.6
Once Upon a Time... In Hollywood,2019,8.6
Interstellar,2014,6.0
Honest Thief,2020,7.0
Love and Monsters,2020,7.1
The Devil All the Time,2020,7.6
Love Actually,2003,6.6
Bad Boys for Life,2020,8.1
Malcolm & Marie,2021,6.0
No Time to Die,2021,6.6
The Little Things,2021,4.9
Mad Max: Fury Road,2015,6.7
The Prom,2020,8.5
Star Wars: Episode IX - The Rise of Skywalker,2019,8.4
Sheena,1984,5.3
Emma.,2020,7.4
Joker,2019,9.0
Avengers: Infinity War,2018,6.4
The Suicide Squad,2021,8.8
The New Mutants,2020,6.7
Palm Springs,2020,7.9
The Dark Knight,2008,6.6
The Batman,2022,7.8
A View to a Kill,1985,7.1
Inception,2010,6.3
Sylvie's Love,2020,7.5
Thor: Ragnarok,2017,7.1
Enola Holmes,2020,8.7
The Matrix 4,2021,6.6
Little Women,2019,8.9
Dredd,2012,7.8
Dracula Untold,2014,7.1
Ready Player One,2018,6.8
The Invisible Man,2020,8.1
Goodfellas,1990,8.6
Fantastic Beasts: The Crimes of Grindelwald,2018,7.9
Pulp Fiction,1994,5.3
Pride & Prejudice,2005,6.7
Midsommar,2019,7.7
Ocean's Eight,2018,8.8
Catch Me If You Can,2002,8.3
Hamilton,2020,6.8
Jojo Rabbit,2019,8.7
After,2019,6.5
Hillbilly Elegy,2020,5.6
Minari,2020,
Forrest Gump,1994,
Inglourious Basterds,2009,
Bombshell,2019,
Don't Worry Darling,2021,
Mortal Kombat,1999,
The Matrix,1999,
Star Wars: Episode I - The Phantom Menace,2020,
Dolittle,2021,
Black Widow,,
